Name	WHO Region	Cases - cumulative total	Cases - cumulative total per 100000 population	Cases - newly reported in last 7 days	Cases - newly reported in last 7 days per 100000 population	Cases - newly reported in last 24 hours	Deaths - cumulative total	Deaths - cumulative total per 100000 population	Deaths - newly reported in last 7 days	Deaths - newly reported in last 7 days per 100000 population	Deaths - newly reported in last 24 hours	Transmission Classification
Trinidad and Tobago	Americas	8323	594.72	207	14.79	47	145	10.36	0	0	0	Community transmission
Guam	Western Pacific	7625	4517.85	19	11.26	2	136	80.58	0	0	0	Clusters of cases
Benin	Africa	7515	61.99	202	1.67	0	93	0.77	0	0	0	Community transmission
Equatorial Guinea	Africa	7219	514.55	211	15.04	160	106	7.56	3	0.21	2	Community transmission
Iceland	Europe	6258	1718.6	33	9.06	0	29	7.96	0	0	0	Community transmission
Gambia	Africa	5602	231.81	143	5.92	38	168	6.95	3	0.12	2	Community transmission
Central African Republic	Africa	5465	113.15	220	4.56	0	74	1.53	2	0.04	0	Community transmission
Nicaragua	Americas	5366	81	40	0.6	0	179	2.7	1	0.02	0	Community transmission
Yemen	Eastern Mediterranean	5280	17.7	579	1.94	43	1032	3.46	99	0.33	9	Sporadic cases
Niger	Africa	5072	20.95	39	0.16	10	188	0.78	0	0	0	Community transmission
San Marino	Europe	4956	14603.1	151	444.93	12	85	250.46	1	2.95	0	Community transmission
Chad	Africa	4616	28.1	27	0.16	0	167	1.02	3	0.02	0	Community transmission
Seychelles	Africa	4490	4565.47	196	199.29	95	24	24.4	2	2.03	1	Community transmission
Saint Lucia	Americas	4329	2357.5	40	21.78	0	64	34.85	3	1.63	0	Community transmission
Gibraltar	Europe	4277	12694.78	2	5.94	1	94	279.01	0	0	0	Clusters of cases
Cambodia	Western Pacific	4238	25.35	1549	9.26	157	29	0.17	10	0.06	3	Sporadic cases
Sierra Leone	Africa	3993	50.06	6	0.08	0	79	0.99	0	0	0	Community transmission
Comoros	Africa	3831	440.55	49	5.63	0	146	16.79	0	0	0	Community transmission
Barbados	Americas	3708	1290.3	43	14.96	4	44	15.31	2	0.7	0	Community transmission
Guinea-Bissau	Africa	3678	186.89	17	0.86	3	66	3.35	1	0.05	0	Community transmission
Eritrea	Africa	3447	97.2	113	3.19	0	10	0.28	0	0	0	Community transmission
Jersey	Europe	3230	2996.4	1	0.93	0	69	64.01	0	0	0	Community transmission
Burundi	Africa	3154	26.52	243	2.04	35	6	0.05	0	0	0	Community transmission
United States Virgin Islands	Americas	2971	2845.1	40	38.31	0	26	24.9	0	0	0	Community transmission
Liechtenstein	Europe	2825	7290.89	47	121.3	0	54	139.37	0	0	0	Sporadic cases
Viet Nam	Western Pacific	2692	2.77	63	0.06	9	35	0.04	0	0	0	Clusters of cases
Monaco	Europe	2374	6049.33	48	122.31	5	31	78.99	2	5.1	0	Sporadic cases
Turks and Caicos Islands	Americas	2344	6054.03	0	0	0	17	43.91	0	0	0	Clusters of cases
Sao Tome and Principe	Africa	2263	1032.58	23	10.49	2	35	15.97	0	0	0	Community transmission
New Zealand	Western Pacific	2218	46	67	1.39	3	26	0.54	0	0	0	Clusters of cases
Sint Maarten	Americas	2174	5069.73	23	53.64	0	27	62.96	0	0	0	Community transmission
Liberia	Africa	2066	40.85	5	0.1	0	85	1.68	0	0	0	Community transmission
Saint Vincent and the Grenadines	Americas	1790	1613.48	35	31.55	1	10	9.01	0	0	0	Community transmission
Bermuda	Americas	1773	2847.14	411	660	116	14	22.48	2	3.21	0	Community transmission
Saint Martin	Americas	1703	4405.18	16	41.39	0	13	33.63	0	0	0	Community transmission
Isle of Man	Europe	1574	1851.07	4	4.7	0	29	34.1	0	0	0	No cases
Bonaire	Americas	1475	7052.35	90	430.31	0	14	66.94	3	14.34	0	Community transmission
Antigua and Barbuda	Americas	1182	1207	12	12.25	2	30	30.63	2	2.04	1	Clusters of cases
Mauritius	Africa	1112	87.44	78	6.13	0	12	0.94	0	0	0	Community transmission
Timor-Leste	South-East Asia	1008	76.45	294	22.3	61	1	0.08	1	0.08	0	Clusters of cases
Saint Barthélemy	Americas	928	9387.96	18	182.09	0	1	10.12	0	0	0	Clusters of cases
Bhutan	South-East Asia	910	117.94	19	2.46	4	1	0.13	0	0	0	Sporadic cases
Guernsey	Europe	821	1273.5	0	0	0	14	21.72	0	0	0	Community transmission
Other	Other	745		0		0	13		0		0	Not applicable
Faroe Islands	Europe	661	1352.71	0	0	0	1	2.05	0	0	0	Sporadic cases
Cayman Islands	Americas	516	785.15	15	22.82	1	2	3.04	0	0	0	Sporadic cases
United Republic of Tanzania	Africa	509	0.85	0	0	0	21	0.04	0	0	0	Pending
Wallis and Futuna	Western Pacific	441	3921.39	16	142.27	2	5	44.46	1	8.89	0	Sporadic cases
Brunei Darussalam	Western Pacific	219	50.06	5	1.14	0	3	0.69	0	0	0	Sporadic cases
British Virgin Islands	Americas	178	588.68	24	79.37	0	1	3.31	0	0	0	Clusters of cases
Dominica	Americas	165	229.2	0	0	0	0	0	0	0	0	Clusters of cases
Northern Mariana Islands (Commonwealth of the)	Western Pacific	160	277.99	1	1.74	0	2	3.47	0	0	0	Pending
Grenada	Americas	157	139.53	2	1.78	0	1	0.89	0	0	0	Sporadic cases
New Caledonia	Western Pacific	121	42.38	0	0	0	0	0	0	0	0	Sporadic cases
Fiji	Western Pacific	68	7.59	1	0.11	0	2	0.22	0	0	0	Sporadic cases
Falkland Islands (Malvinas)	Americas	60	1722.65	8	229.69	0	0	0	0	0	0	Sporadic cases
Lao People's Democratic Republic	Western Pacific	49	0.67	0	0	0	0	0	0	0	0	Sporadic cases
Saint Kitts and Nevis	Americas	44	82.72	0	0	0	0	0	0	0	0	Sporadic cases
Greenland	Europe	31	54.6	0	0	0	0	0	0	0	0	No cases
Holy See	Europe	26	3213.84	0	0	0	0	0	0	0	0	Sporadic cases
Anguilla	Americas	25	166.64	0	0	0	0	0	0	0	0	Sporadic cases
Saint Pierre and Miquelon	Americas	25	431.41	1	17.26	1	0	0	0	0	0	No cases
Montserrat	Americas	20	400.08	0	0	0	1	20	0	0	0	No cases
Sint Eustatius	Americas	20	637.15	0	0	0	0	0	0	0	0	No cases
Solomon Islands	Western Pacific	19	2.77	0	0	0	0	0	0	0	0	No cases
Saba	Americas	6	310.4	0	0	0	0	0	0	0	0	No cases
Marshall Islands	Western Pacific	4	6.76	0	0	0	0	0	0	0	0	No cases
Samoa	Western Pacific	4	2.02	0	0	0	0	0	0	0	0	No cases
Vanuatu	Western Pacific	3	0.98	0	0	0	0	0	0	0	0	No cases
American Samoa	Western Pacific	0	0	0	0	0	0	0	0	0	0	No cases
Cook Islands	Western Pacific	0	0	0	0	0	0	0	0	0	0	No cases
Democratic People's Republic of Korea	South-East Asia	0	0	0	0	0	0	0	0	0	0	No cases
Kiribati	Western Pacific	0	0	0	0	0	0	0	0	0	0	No cases
Micronesia (Federated States of)	Western Pacific	0	0	0	0	0	0	0	0	0	0	No cases
Nauru	Western Pacific	0	0	0	0	0	0	0	0	0	0	No cases
Niue	Western Pacific	0	0	0	0	0	0	0	0	0	0	No cases
Palau	Western Pacific	0	0	0	0	0	0	0	0	0	0	No cases
Pitcairn Islands	Western Pacific	0	0	0	0	0	0	0	0	0	0	No cases
Tokelau	Western Pacific	0	0	0	0	0	0	0	0	0	0	No cases
Tonga	Western Pacific	0	0	0	0	0	0	0	0	0	0	No cases
Turkmenistan	Europe	0	0	0	0	0	0	0	0	0	0	No cases
Tuvalu	Western Pacific	0	0	0	0	0	0	0	0	0	0	No cases
